Method,Target Alpha,Setting,Run,Coverage,A_hat,LPB,Include Proportion,s_tau
Focused,0.1,3,11,0.955,0.047966101694915254,0.14865603143733921,,
Focused,0.1,3,12,0.9475,0.045593220338983054,0.16017729324753255,,
Focused,0.1,3,13,0.94,0.05745762711864407,0.19581224938730274,,
Focused,0.1,3,14,0.9475,0.05271186440677966,0.1706205923080693,,
Focused,0.1,3,15,0.9475,0.05745762711864407,0.20278423760840447,,
Focused,0.1,3,16,0.965,0.05983050847457627,0.18426769710209953,,
Focused,0.1,3,17,0.93,0.05983050847457627,0.17550452676522163,,
Focused,0.1,3,18,0.9375,0.050338983050847455,0.16755712907010334,,
Focused,0.1,3,19,0.9425,0.047966101694915254,0.1580838845093989,,
Focused,0.1,3,20,0.9325,0.07644067796610168,0.22858147459737516,,
Focused,0.1,3,21,0.9425,0.07644067796610168,0.23546929500387084,,
Focused,0.1,3,22,0.9175,0.050338983050847455,0.16849681638259986,,
Focused,0.1,3,23,0.9325,0.07169491525423728,0.23022626565213486,,
Focused,0.1,3,24,0.9325,0.06457627118644067,0.2119194303064717,,
Focused,0.1,4,0,0.96,0.043220338983050846,0.2757104589057253,,
Focused,0.1,4,1,0.98,0.03847457627118644,0.20343799134075038,,
Focused,0.1,4,2,0.945,0.06220338983050847,0.36296138327831756,,
Focused,0.1,4,3,0.9525,0.045593220338983054,0.29361495647040653,,
Focused,0.1,4,4,0.955,0.05508474576271186,0.3233128098338308,,
Focused,0.1,4,5,0.965,0.05271186440677966,0.2960038393897671,,
Focused,0.1,4,6,0.96,0.045593220338983054,0.34231599546365543,,
Focused,0.1,4,7,0.935,0.05271186440677966,0.3776756434131379,,
Focused,0.1,4,8,0.96,0.05508474576271186,0.360459239542148,,
Focused,0.1,4,9,0.9575,0.05271186440677966,0.31899691767911226,,
Focused,0.1,4,10,0.98,0.03610169491525424,0.23613200269585874,,
Focused,0.1,4,11,0.9675,0.047966101694915254,0.3169409154666034,,
Focused,0.1,4,12,0.95,0.05745762711864407,0.39451078999103606,,
Focused,0.1,4,13,0.9475,0.05271186440677966,0.3908378689274736,,
Focused,0.1,4,14,0.955,0.045593220338983054,0.3184615244723547,,
Focused,0.1,4,15,0.9675,0.07406779661016949,0.4773194198936502,,
Focused,0.1,4,16,0.9575,0.05508474576271186,0.32719400242144586,,
Focused,0.1,4,17,0.96,0.05508474576271186,0.3641190938811046,,
Focused,0.1,4,18,0.94,0.06220338983050847,0.3546484829236596,,
Focused,0.1,4,19,0.98,0.040847457627118645,0.24836612667414165,,
Focused,0.1,4,20,0.955,0.05271186440677966,0.3537334799614091,,
Focused,0.1,4,21,0.955,0.05508474576271186,0.3063174521854792,,
Focused,0.1,4,22,0.955,0.05508474576271186,0.33238609446070144,,
Focused,0.1,4,23,0.935,0.05508474576271186,0.37521423878910054,,
Focused,0.1,4,24,0.975,0.043220338983050846,0.2977945032468944,,
Focused,0.1,5,0,0.935,0.06694915254237288,0.18530743996955112,,
Focused,0.1,5,1,0.955,0.047966101694915254,0.17409730709967636,,
Focused,0.1,5,2,0.9525,0.05271186440677966,0.1784361507472121,,
Focused,0.1,5,3,0.9475,0.06457627118644067,0.2187993093803646,,
Focused,0.1,5,4,0.9425,0.043220338983050846,0.1554839577357469,,
Focused,0.1,5,5,0.9475,0.043220338983050846,0.15649351878627088,,
Focused,0.1,5,6,0.935,0.050338983050847455,0.1930598760847076,,
Focused,0.1,5,7,0.9425,0.05745762711864407,0.18839116952301593,,
Focused,0.1,5,8,0.965,0.05271186440677966,0.17096695723141395,,
Focused,0.1,5,9,0.95,0.045593220338983054,0.16448435716575113,,
Focused,0.1,5,10,0.91,0.07406779661016949,0.2483336891852328,,
Focused,0.1,5,11,0.9375,0.07644067796610168,0.27182468113804603,,
Focused,0.1,5,12,0.9575,0.05271186440677966,0.1708940110678843,,
Focused,0.1,5,13,0.955,0.06220338983050847,0.19697997418683738,,
Focused,0.1,5,14,0.9625,0.03610169491525424,0.13826884189736308,,
Focused,0.1,5,15,0.9225,0.06220338983050847,0.21057114397161342,,
Focused,0.1,5,16,0.9425,0.050338983050847455,0.17832902901450914,,
Focused,0.1,5,17,0.9375,0.0811864406779661,0.26051248041822705,,
Focused,0.1,5,18,0.9625,0.047966101694915254,0.14782551737853458,,
Focused,0.1,5,19,0.93,0.06457627118644067,0.21806109384541675,,
Focused,0.1,5,20,0.95,0.03135593220338983,0.11551395739236715,,
Focused,0.1,5,21,0.9625,0.045593220338983054,0.16050189424535952,,
Focused,0.1,5,22,0.94,0.047966101694915254,0.15664757226144174,,
Focused,0.1,5,23,0.955,0.05271186440677966,0.1914351057210073,,
Focused,0.1,5,24,0.945,0.06220338983050847,0.18108288114340568,,
Focused,0.1,6,0,0.94,0.05508474576271186,0.20363729597700345,,
Focused,0.1,6,1,0.945,0.045593220338983054,0.14901327156655006,,
Focused,0.1,6,2,0.9575,0.050338983050847455,0.1835257829653932,,
Focused,0.1,6,3,0.9575,0.040847457627118645,0.12843298911927484,,
Focused,0.1,6,4,0.9575,0.043220338983050846,0.1299201167698415,,
Focused,0.1,6,5,0.9525,0.05271186440677966,0.15634238225543753,,
Focused,0.1,6,6,0.965,0.040847457627118645,0.13939631050033618,,
Focused,0.1,6,7,0.94,0.045593220338983054,0.15131641040599916,,
Focused,0.1,6,8,0.9475,0.05745762711864407,0.1856087717453972,,
Focused,0.1,6,9,0.9675,0.03847457627118644,0.11667487078685167,,
Focused,0.1,6,10,0.9575,0.033728813559322036,0.12699517872544416,,
Focused,0.1,6,11,0.9825,0.03135593220338983,0.11547799327296385,,
Focused,0.1,6,12,0.9575,0.03610169491525424,0.13501500587330809,,
Focused,0.1,6,13,0.9625,0.033728813559322036,0.09800903581737287,,
Focused,0.1,6,14,0.9475,0.045593220338983054,0.1387352829868871,,
Focused,0.1,6,15,0.965,0.03847457627118644,0.1482214923518011,,
Focused,0.1,6,16,0.96,0.040847457627118645,0.15290334394357497,,
Focused,0.1,6,17,0.9625,0.033728813559322036,0.12299879406853624,,
Focused,0.1,6,18,0.9625,0.050338983050847455,0.1531781282912996,,
Focused,0.1,6,19,0.965,0.043220338983050846,0.160116870589693,,
Focused,0.1,6,20,0.9575,0.03610169491525424,0.1311481590688225,,
Focused,0.1,6,21,0.95,0.033728813559322036,0.11791719585548481,,
Focused,0.1,6,22,0.9575,0.03135593220338983,0.11551952834325416,,
Focused,0.1,6,23,0.95,0.050338983050847455,0.16018474229541382,,
Focused,0.1,6,24,0.945,0.043220338983050846,0.18348000079809623,,
Fused,0.1,1,0,0.9175,0.07406779661016949,0.19929216980251568,1.0,0.8125
Fused,0.1,1,1,0.935,0.07881355932203389,0.2158637599596868,0.1,0.8225
Fused,0.1,1,2,0.9125,0.08355932203389829,0.22758391744094442,1.0,0.8275
Fused,0.1,1,3,0.9475,0.07406779661016949,0.1818224614574815,1.0,0.845
Fused,0.1,1,4,0.9325,0.06457627118644067,0.17665220511595695,0.08333333333333333,0.8425
Fused,0.1,1,5,0.9075,0.10254237288135593,0.2785511610952338,1.0,0.8025
Fused,0.1,1,6,0.925,0.09305084745762711,0.2179196080206644,1.0,0.825
Fused,0.1,1,7,0.915,0.08830508474576271,0.2270286405388778,1.0,0.81
Fused,0.1,1,8,0.9075,0.0859322033898305,0.21641829438350718,1.0,0.8025
Fused,0.1,1,9,0.935,0.07169491525423728,0.20577327074431884,1.0,0.805
Fused,0.1,1,10,0.9375,0.06457627118644067,0.1724509494140249,1.0,0.83
Fused,0.1,1,11,0.915,0.07644067796610168,0.18890693071736053,0.13333333333333333,0.83
Fused,0.1,1,12,0.925,0.08355932203389829,0.22505985300478343,1.0,0.8125
Fused,0.1,1,13,0.9275,0.07406779661016949,0.1778599243254213,0.16666666666666666,0.8275
Fused,0.1,1,14,0.9525,0.07406779661016949,0.1947958806857379,1.0,0.8425
Fused,0.1,1,15,0.92,0.0859322033898305,0.22111236363883394,1.0,0.8125
Fused,0.1,1,16,0.915,0.07169491525423728,0.19191320024730807,1.0,0.8275
Fused,0.1,1,17,0.9025,0.0859322033898305,0.19563418199648147,1.0,0.8175
Fused,0.1,1,18,0.9325,0.07169491525423728,0.1862949123355304,0.11666666666666667,0.8175
Fused,0.1,1,19,0.91,0.06457627118644067,0.17444286795474245,1.0,0.8075
Fused,0.1,1,20,0.8975,0.07406779661016949,0.19735229482237898,0.1,0.825
Fused,0.1,1,21,0.9125,0.0811864406779661,0.22946917460769276,1.0,0.8125
Fused,0.1,1,22,0.9375,0.06220338983050847,0.16591652798554668,0.1,0.8375
Fused,0.1,1,23,0.895,0.0811864406779661,0.2315139781559032,1.0,0.8025
Fused,0.1,1,24,0.9425,0.06694915254237288,0.17244272831602978,1.0,0.82
Fused,0.1,2,0,0.9225,0.045593220338983054,0.23477347093620582,1.0,0.795
Fused,0.1,2,1,0.935,0.05271186440677966,0.2814773175104154,0.0,0.8025
Fused,0.1,2,2,0.9425,0.07169491525423728,0.38915163593258834,1.0,0.7925
Fused,0.1,2,3,0.945,0.07406779661016949,0.408508689379839,1.0,0.785
Fused,0.1,2,4,0.9425,0.047966101694915254,0.29974283788180506,1.0,0.8225
Fused,0.1,2,5,0.935,0.07169491525423728,0.3923111975123119,0.9666666666666667,0.81
Fused,0.1,2,6,0.945,0.06457627118644067,0.33229647519477934,0.9833333333333333,0.8025
Fused,0.1,2,7,0.9275,0.06932203389830507,0.36710261460852595,1.0,0.7975
Fused,0.1,2,8,0.9725,0.05271186440677966,0.28489183990861316,1.0,0.81
Fused,0.1,2,9,0.9425,0.06694915254237288,0.31690423738359114,1.0,0.805
Fused,0.1,2,10,0.9425,0.06694915254237288,0.32626209559074354,0.016666666666666666,0.8
Fused,0.1,2,11,0.94,0.06457627118644067,0.35672244441044415,1.0,0.7925
Fused,0.1,2,12,0.9475,0.06457627118644067,0.4037419542135032,0.95,0.795
Fused,0.1,2,13,0.9525,0.045593220338983054,0.22414285425978542,1.0,0.7875
Fused,0.1,2,14,0.945,0.07644067796610168,0.38832510515988233,1.0,0.8
Fused,0.1,2,15,0.935,0.07881355932203389,0.46839661073127353,1.0,0.805
Fused,0.1,2,16,0.96,0.05271186440677966,0.2615839522380374,1.0,0.7975
Fused,0.1,2,17,0.94,0.06220338983050847,0.3716496638969955,1.0,0.805
Fused,0.1,2,18,0.9375,0.05745762711864407,0.3442846982266795,0.0,0.775
Fused,0.1,2,19,0.9425,0.06694915254237288,0.30949855254747627,1.0,0.8
Fused,0.1,2,20,0.9425,0.07169491525423728,0.3985163142696467,1.0,0.8
Fused,0.1,2,21,0.95,0.050338983050847455,0.2568081167981169,0.016666666666666666,0.7825
Fused,0.1,2,22,0.9525,0.05271186440677966,0.2850041022826197,1.0,0.81
Fused,0.1,2,23,0.965,0.050338983050847455,0.2702259371381237,1.0,0.815
Fused,0.1,2,24,0.9575,0.06932203389830507,0.381853270399368,0.03333333333333333,0.835
Fused,0.1,3,0,0.945,0.06694915254237288,0.21373639692558402,1.0,0.815
Fused,0.1,3,1,0.935,0.06220338983050847,0.23402539074298256,0.6333333333333333,0.8025
Fused,0.1,3,2,0.9375,0.07169491525423728,0.19987902977078428,1.0,0.8225
Fused,0.1,3,3,0.9375,0.06457627118644067,0.22403782508634598,1.0,0.8025
Fused,0.1,3,4,0.8975,0.08355932203389829,0.25585403227335896,1.0,0.8025
Fused,0.1,3,5,0.95,0.05508474576271186,0.1631552609584996,1.0,0.8375
Fused,0.1,3,6,0.935,0.06694915254237288,0.21904565436879408,1.0,0.815
Fused,0.1,3,7,0.92,0.0811864406779661,0.24605704297165815,0.11666666666666667,0.8025
Fused,0.1,3,8,0.935,0.08830508474576271,0.26930661515992343,1.0,0.8025
Fused,0.1,3,9,0.9525,0.06457627118644067,0.20095152623380447,1.0,0.8275
Fused,0.1,3,10,0.92,0.07169491525423728,0.2418635950984857,1.0,0.8025
Fused,0.1,3,11,0.9475,0.05508474576271186,0.17468565673438424,1.0,0.8325
Fused,0.1,3,12,0.945,0.050338983050847455,0.1778614609489191,1.0,0.8325
Fused,0.1,3,13,0.9275,0.07169491525423728,0.2488695845442662,1.0,0.8025
Fused,0.1,3,14,0.9325,0.06932203389830507,0.23062858497480668,1.0,0.8125
Fused,0.1,3,15,0.9375,0.06694915254237288,0.23559204087431854,1.0,0.8025
Fused,0.1,3,16,0.9525,0.07406779661016949,0.23494778812813397,1.0,0.8075
Fused,0.1,3,17,0.915,0.06694915254237288,0.20150795818026332,1.0,0.805
Fused,0.1,3,18,0.9375,0.05983050847457627,0.19922140231652485,0.1,0.8175
Fused,0.1,3,19,0.92,0.07169491525423728,0.2375675169071557,0.11666666666666667,0.8075
Fused,0.1,3,20,0.925,0.08355932203389829,0.256677850984463,1.0,0.8175
Fused,0.1,3,21,0.9375,0.08355932203389829,0.26206940918271265,0.05,0.8025
Fused,0.1,3,22,0.9025,0.05745762711864407,0.1927283259912533,1.0,0.82
Fused,0.1,3,23,0.9175,0.0859322033898305,0.2807778937574107,0.08333333333333333,0.8025
Fused,0.1,3,24,0.9275,0.07881355932203389,0.263414762270565,1.0,0.8025
Fused,0.1,4,0,0.9525,0.06220338983050847,0.4345479125185321,1.0,0.8175
Fused,0.1,4,1,0.9675,0.05745762711864407,0.32673283259470787,1.0,0.8125
Fused,0.1,4,2,0.93,0.08830508474576271,0.5708372142084362,1.0,0.8075
Fused,0.1,4,3,0.9325,0.06457627118644067,0.4392429470563266,1.0,0.8025
Fused,0.1,4,4,0.91,0.08355932203389829,0.5622670588675109,1.0,0.8025
Fused,0.1,4,5,0.9375,0.07644067796610168,0.4600198501452975,1.0,0.8025
Fused,0.1,4,6,0.9375,0.06694915254237288,0.5535134083135397,1.0,0.805
Fused,0.1,4,7,0.9125,0.06457627118644067,0.48295929241676055,1.0,0.8025
Fused,0.1,4,8,0.9525,0.06932203389830507,0.47744931563134585,1.0,0.8025
Fused,0.1,4,9,0.925,0.07644067796610168,0.4852738503675298,1.0,0.8025
Fused,0.1,4,10,0.9375,0.06457627118644067,0.47392088488525624,1.0,0.8175
Fused,0.1,4,11,0.95,0.07881355932203389,0.6103323077273376,1.0,0.8075
Fused,0.1,4,12,0.925,0.0859322033898305,0.6728328768293269,1.0,0.8125
Fused,0.1,4,13,0.9225,0.08355932203389829,0.6655106849205558,1.0,0.8075
Fused,0.1,4,14,0.915,0.0811864406779661,0.6145518744890248,1.0,0.8125
Fused,0.1,4,15,0.95,0.0859322033898305,0.5898646442319471,1.0,0.82
Fused,0.1,4,16,0.945,0.06932203389830507,0.4293910533646638,1.0,0.8025
Fused,0.1,4,17,0.95,0.06220338983050847,0.4238082465702257,1.0,0.815
Fused,0.1,4,18,0.915,0.08355932203389829,0.5462649167159057,0.3,0.8025
Fused,0.1,4,19,0.9375,0.07406779661016949,0.5508207140115404,1.0,0.8125
Fused,0.1,4,20,0.925,0.0811864406779661,0.6289193776645906,1.0,0.81
Fused,0.1,4,21,0.9425,0.0811864406779661,0.5033788950754969,0.4,0.8025
Fused,0.1,4,22,0.9325,0.08830508474576271,0.6139644697195482,1.0,0.81
Fused,0.1,4,23,0.92,0.07644067796610168,0.5315664648208518,1.0,0.805
Fused,0.1,4,24,0.9475,0.07406779661016949,0.5317389483108478,1.0,0.805
Fused,0.1,5,0,0.925,0.07881355932203389,0.2243099248815688,1.0,0.8025
Fused,0.1,5,1,0.935,0.06220338983050847,0.22562768863439853,1.0,0.8025
Fused,0.1,5,2,0.945,0.06457627118644067,0.22017682290218676,1.0,0.8025
Fused,0.1,5,3,0.9325,0.07406779661016949,0.2513582498513895,0.1,0.8025
Fused,0.1,5,4,0.9375,0.05745762711864407,0.2071521854472573,1.0,0.8025
Fused,0.1,5,5,0.945,0.050338983050847455,0.1771456267055369,1.0,0.8025
Fused,0.1,5,6,0.9175,0.06694915254237288,0.25406080474121273,1.0,0.8025
Fused,0.1,5,7,0.9325,0.06932203389830507,0.2286325969431212,0.11666666666666667,0.8
Fused,0.1,5,8,0.9525,0.06694915254237288,0.22284203089837176,0.9666666666666667,0.8025
Fused,0.1,5,9,0.9425,0.05508474576271186,0.19283507842668426,1.0,0.8025
Fused,0.1,5,10,0.9025,0.07881355932203389,0.2680284810115343,1.0,0.8025
Fused,0.1,5,11,0.9375,0.07881355932203389,0.2828852678270036,1.0,0.8025
Fused,0.1,5,12,0.9325,0.06694915254237288,0.21533936277460256,1.0,0.8025
Fused,0.1,5,13,0.9525,0.06694915254237288,0.21532971312288737,1.0,0.8025
Fused,0.1,5,14,0.9475,0.05271186440677966,0.18482148142015223,1.0,0.8
Fused,0.1,5,15,0.915,0.07169491525423728,0.2498905858687412,1.0,0.8025
Fused,0.1,5,16,0.9275,0.05983050847457627,0.21116573353529197,1.0,0.8025
Fused,0.1,5,17,0.925,0.0906779661016949,0.2932737971059271,1.0,0.8025
Fused,0.1,5,18,0.9575,0.05745762711864407,0.18062135425284406,1.0,0.8025
Fused,0.1,5,19,0.9175,0.07644067796610168,0.2567749863445922,1.0,0.8025
Fused,0.1,5,20,0.945,0.03847457627118644,0.13901737925258023,0.08333333333333333,0.81
Fused,0.1,5,21,0.9375,0.05983050847457627,0.20544525907918726,1.0,0.8025
Fused,0.1,5,22,0.935,0.05508474576271186,0.17923513591600543,1.0,0.8025
Fused,0.1,5,23,0.9425,0.06457627118644067,0.23218005358540167,1.0,0.8
Fused,0.1,5,24,0.9225,0.07881355932203389,0.23452910406822258,1.0,0.8025
Fused,0.1,6,0,0.94,0.05508474576271186,0.20363729597700345,0.0,0.5925
Fused,0.1,6,1,0.94,0.047966101694915254,0.1573248702437976,0.0,0.5825
Fused,0.1,6,2,0.9625,0.040847457627118645,0.15036568632462152,0.8166666666666667,0.5825
Fused,0.1,6,3,0.9575,0.040847457627118645,0.12843298911927484,0.0,0.525
Fused,0.1,6,4,0.9575,0.043220338983050846,0.1299201167698415,0.0,0.5325
Fused,0.1,6,5,0.9575,0.047966101694915254,0.13799997358491992,0.0,0.56
Fused,0.1,6,6,0.97,0.03610169491525424,0.1187668808707236,0.9166666666666666,0.565
Fused,0.1,6,7,0.9475,0.040847457627118645,0.1330254877880059,0.0,0.565
Fused,0.1,6,8,0.9475,0.05508474576271186,0.1785023720253003,0.8,0.605
Fused,0.1,6,9,0.9625,0.043220338983050846,0.13594065541900127,1.0,0.53
Fused,0.1,6,10,0.9525,0.03847457627118644,0.14071652456989295,0.25,0.555
Fused,0.1,6,11,0.9825,0.03135593220338983,0.11547799327296385,0.0,0.605
Fused,0.1,6,12,0.9575,0.03610169491525424,0.13501500587330809,0.0,0.5475
Fused,0.1,6,13,0.95,0.043220338983050846,0.13032052775183756,1.0,0.5675
Fused,0.1,6,14,0.955,0.043220338983050846,0.13023307116037827,0.0,0.565
Fused,0.1,6,15,0.965,0.03847457627118644,0.1482214923518011,0.8666666666666667,0.5775
Fused,0.1,6,16,0.96,0.040847457627118645,0.15290334394357497,0.0,0.545
Fused,0.1,6,17,0.9575,0.03610169491525424,0.1339041628608495,0.0,0.5275
Fused,0.1,6,18,0.9625,0.050338983050847455,0.1531781282912996,0.0,0.5525
Fused,0.1,6,19,0.9575,0.05745762711864407,0.21031679744996734,1.0,0.5675
Fused,0.1,6,20,0.9575,0.03610169491525424,0.1311481590688225,0.0,0.58
Fused,0.1,6,21,0.9475,0.043220338983050846,0.1467476841427854,0.9833333333333333,0.5525
Fused,0.1,6,22,0.9575,0.03135593220338983,0.11551952834325416,0.0,0.555
Fused,0.1,6,23,0.95,0.050338983050847455,0.16018474229541382,0.0,0.575
Fused,0.1,6,24,0.945,0.043220338983050846,0.18348000079809623,0.6166666666666667,0.5975
Naive,0.1,1,0,0.9425,0.043220338983050846,0.11625515472972907,,
Naive,0.1,1,1,0.9575,0.05745762711864407,0.14766545867569938,,
Naive,0.1,1,2,0.9525,0.05508474576271186,0.13659337309459463,,
Naive,0.1,1,3,0.9525,0.05745762711864407,0.13571735078991595,,
Naive,0.1,1,4,0.965,0.040847457627118645,0.1118959261832428,,
Naive,0.1,1,5,0.9275,0.05983050847457627,0.15054209735002935,,
Naive,0.1,1,6,0.94,0.07169491525423728,0.15725753482380717,,
Naive,0.1,1,7,0.935,0.05745762711864407,0.13426938960481347,,
Naive,0.1,1,8,0.9475,0.045593220338983054,0.1093041841730312,,
Naive,0.1,1,9,0.955,0.050338983050847455,0.13892006137032442,,
Naive,0.1,1,10,0.95,0.047966101694915254,0.1275797667371845,,
Naive,0.1,1,11,0.9275,0.06220338983050847,0.1508773612799657,,
Naive,0.1,1,12,0.965,0.03847457627118644,0.10108077022157115,,
Naive,0.1,1,13,0.95,0.05508474576271186,0.1238498715925301,,
Naive,0.1,1,14,0.965,0.05508474576271186,0.1394166625920157,,
Naive,0.1,1,15,0.95,0.06220338983050847,0.15150156680465027,,
Naive,0.1,1,16,0.9375,0.050338983050847455,0.1289407185080705,,
Naive,0.1,1,17,0.915,0.07644067796610168,0.16778805418268455,,
Naive,0.1,1,18,0.97,0.043220338983050846,0.11069989687654687,,
Naive,0.1,1,19,0.935,0.03847457627118644,0.10545883951984672,,
Naive,0.1,1,20,0.9475,0.040847457627118645,0.10914177509544903,,
Naive,0.1,1,21,0.955,0.05271186440677966,0.13793358012266577,,
Naive,0.1,1,22,0.955,0.03847457627118644,0.10178514429336044,,
Naive,0.1,1,23,0.95,0.045593220338983054,0.13152022915233247,,
Naive,0.1,1,24,0.9575,0.047966101694915254,0.12112364556513104,,
Naive,0.1,2,0,0.9425,0.033728813559322036,0.1712378515734072,,
Naive,0.1,2,1,0.945,0.043220338983050846,0.2229519260718039,,
Naive,0.1,2,2,0.96,0.047966101694915254,0.2543924476587092,,
Naive,0.1,2,3,0.9525,0.050338983050847455,0.2696156975415811,,
Naive,0.1,2,4,0.955,0.033728813559322036,0.1995155838427219,,
Naive,0.1,2,5,0.95,0.05983050847457627,0.3090289131936494,,
Naive,0.1,2,6,0.955,0.050338983050847455,0.24950564091003585,,
Naive,0.1,2,7,0.9625,0.047966101694915254,0.23081538682447011,,
Naive,0.1,2,8,0.98,0.040847457627118645,0.20852704391977497,,
Naive,0.1,2,9,0.97,0.03847457627118644,0.16843578268516332,,
Naive,0.1,2,10,0.96,0.043220338983050846,0.19807997420995663,,
Naive,0.1,2,11,0.9625,0.045593220338983054,0.22789850790026378,,
Naive,0.1,2,12,0.965,0.043220338983050846,0.23622052784188788,,
Naive,0.1,2,13,0.9575,0.03847457627118644,0.18223046115575492,,
Naive,0.1,2,14,0.96,0.05983050847457627,0.27981740536601424,,
Naive,0.1,2,15,0.955,0.05983050847457627,0.33552933527301076,,
Naive,0.1,2,16,0.9775,0.033728813559322036,0.16210732586598336,,
Naive,0.1,2,17,0.9475,0.045593220338983054,0.2595242938351717,,
Naive,0.1,2,18,0.9475,0.040847457627118645,0.24061396472528934,,
Naive,0.1,2,19,0.96,0.043220338983050846,0.17697736298103903,,
Naive,0.1,2,20,0.9575,0.05745762711864407,0.3104101894070649,,
Naive,0.1,2,21,0.9575,0.040847457627118645,0.206387495775369,,
Naive,0.1,2,22,0.96,0.03847457627118644,0.19556514517707427,,
Naive,0.1,2,23,0.9725,0.03610169491525424,0.18841099606007172,,
Naive,0.1,2,24,0.9675,0.05745762711864407,0.2985982331833035,,
